epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,0.202,0.0,7.999642,8.000076,-0.000434,8.000076,8.002533,-0.002891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,466944,0,0,0,0
50,1.375,0.792,7.999422,8.000076,-0.000654,7.992294,7.978531,0.020891,608.3844,0.517964,0.837263,64.2998,0.060854,0.603081,0.336064,204800,124597121,6268,464977,0,0,0,0
100,2.748,1.821,7.999101,8.000076,-0.000975,7.98912,7.972626,0.026475,617.056,0.508369,0.845693,68.51,0.06293,0.571558,0.365513,204800,126373059,6454,464752,0,0,0,0
150,4.213,2.891,7.998702,8.000076,-0.001374,7.983566,7.965515,0.033187,625.6007,0.497021,0.85276,77.264,0.064292,0.543149,0.392559,204800,128123020,6321,464418,0,0,0,0
200,5.644,3.946,7.998329,8.000076,-0.001747,7.984329,7.961624,0.036705,622.2529,0.490259,0.855557,78.429,0.064141,0.525938,0.409922,204800,127437397,6198,464251,0,0,0,0
250,7.043,4.996,7.997926,8.000076,-0.00215,7.977814,7.953339,0.044588,621.8702,0.485039,0.858343,76.8477,0.064243,0.510288,0.425469,204800,127359025,6305,463782,0,0,0,0
300,8.439,6.045,7.997385,8.000076,-0.002691,7.97374,7.948944,0.048441,615.638,0.475869,0.859963,76.7427,0.063765,0.493452,0.442783,204800,126082655,6300,463634,51,51,51,51
350,9.97,7.181,7.996956,8.000076,-0.00312,7.977509,7.947235,0.049721,626.1092,0.474268,0.864932,80.6583,0.065146,0.478867,0.455986,204800,128227173,6233,463710,53,55,53,55
400,11.367,8.216,7.996532,7.937637,0.058895,7.97168,7.941193,0.05534,623.0633,0.472441,0.866292,81.9325,0.065103,0.469712,0.465186,204800,127603374,6358,463494,56,61,56,61
450,12.817,9.261,7.996288,7.939087,0.057201,7.966736,7.940872,0.055416,626.6101,0.471143,0.868635,82.2314,0.065698,0.462007,0.472295,204800,128329742,6317,463578,58,64,58,64
500,14.292,10.375,7.996059,7.937561,0.058498,7.968674,7.938248,0.057811,637.8031,0.467158,0.872105,89.0685,0.067046,0.455815,0.477139,204800,130622085,6171,463642,60,70,60,70
550,15.691,11.414,7.995828,7.936386,0.059442,7.972656,7.938141,0.057687,634.1195,0.465288,0.873109,86.211,0.066846,0.4454,0.487754,204800,129867673,6324,463786,58,72,58,72
600,17.093,12.435,7.99558,7.933624,0.061956,7.966171,7.934998,0.060583,616.1431,0.459155,0.870916,84.3245,0.064785,0.437485,0.497729,204800,126186107,6329,463656,56,75,56,75
650,18.467,13.441,7.995172,7.931931,0.063242,7.966278,7.929382,0.06579,623.7452,0.457896,0.873452,83.8527,0.065781,0.432695,0.501523,204800,127743011,6332,463510,58,80,58,80
700,19.849,14.469,7.994917,7.929092,0.065824,7.964828,7.92926,0.065657,631.2537,0.453262,0.876335,86.7214,0.066909,0.425117,0.507974,204800,129280748,6270,463686,56,82,56,82
750,21.229,15.493,7.994628,7.927933,0.066695,7.966049,7.927505,0.067122,631.4618,0.452031,0.877366,86.5456,0.06689,0.421108,0.512002,204800,129323386,6178,463630,59,88,59,88
