epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
0,0.023,0.0,7.996763,8.003174,-0.006411,0.0,0.0,0.0,0.0,0.0,0,0,0,65536,0,0
50,0.225,0.179,7.98877,7.823486,0.165284,1240.9644,0.545859,0.129219,0.646387,0.224395,51200,63537377,807,64657,0,0
100,0.419,0.349,7.981801,7.675659,0.306142,1323.3714,0.59041,0.141641,0.618867,0.239492,51200,67756618,799,64414,0,0
150,0.606,0.513,7.975632,7.589966,0.385666,1249.361,0.609121,0.133438,0.621504,0.245059,51200,63967283,746,64502,0,0
200,0.798,0.681,7.969816,7.491821,0.477994,1206.9038,0.621035,0.124004,0.638184,0.237812,51200,61793474,798,64443,0,0
250,0.975,0.834,7.964282,7.387695,0.576587,1093.6426,0.628906,0.111992,0.656445,0.231562,51200,55994502,761,64167,10,10
300,1.157,0.993,7.960309,7.350464,0.609845,1082.8336,0.623711,0.11127,0.66207,0.22666,51200,55441082,762,64351,12,13
350,1.333,1.145,7.954509,7.297974,0.656535,1070.3929,0.620039,0.108203,0.675059,0.216738,51200,54804116,769,64407,11,14
400,1.542,1.329,7.948676,7.255859,0.692817,1140.8032,0.614258,0.115684,0.678496,0.20582,51200,58409122,765,64418,11,14
450,1.724,1.487,7.940397,7.201538,0.738859,1161.1033,0.61707,0.119434,0.680957,0.199609,51200,59448490,804,64310,12,17
500,1.906,1.645,7.932916,7.161987,0.770928,1153.7548,0.619121,0.119883,0.675703,0.204414,51200,59072245,776,64343,14,20
550,2.098,1.809,7.917994,7.125488,0.792505,1182.9436,0.615742,0.123457,0.671406,0.205137,51200,60566711,773,64327,14,20
600,2.286,1.974,7.896132,7.057983,0.838148,1164.0298,0.612422,0.120371,0.672773,0.206855,51200,59598327,728,64185,14,22
650,2.472,2.134,7.866271,7.00415,0.86212,1181.5741,0.602363,0.122988,0.672734,0.204277,51200,60496595,789,64039,17,26
700,2.652,2.291,7.833458,6.912964,0.920494,1133.6894,0.599023,0.118164,0.681348,0.200488,51200,58044896,758,63568,18,28
750,2.847,2.462,7.79778,6.828613,0.969167,1126.242,0.597891,0.118613,0.68498,0.196406,51200,57663589,783,62993,18,30
800,3.057,2.647,7.744221,6.782349,0.961872,1084.1123,0.601289,0.11373,0.70043,0.18584,51200,55506549,807,62859,21,33
850,3.235,2.799,7.677393,6.661255,1.016138,1071.8922,0.599512,0.112168,0.696289,0.191543,51200,54880879,744,61771,21,35
900,3.409,2.949,7.616424,6.59436,1.022064,1035.1988,0.601484,0.108945,0.702812,0.188242,51200,53002176,758,61299,29,44
950,3.582,3.097,7.540909,6.457031,1.083878,1015.2342,0.60373,0.105527,0.711602,0.182871,51200,51979993,749,60447,38,53
1000,3.752,3.241,7.486992,6.370361,1.116631,975.7701,0.606758,0.099727,0.721094,0.17918,51200,49959429,766,59948,41,57
1050,3.926,3.387,7.406079,6.290771,1.115308,996.7243,0.606816,0.10209,0.727598,0.170312,51200,51032282,754,59270,49,70
1100,4.101,3.536,7.342565,6.213989,1.128575,1006.7591,0.619551,0.103066,0.73252,0.164414,51200,51546068,774,58796,50,75
1150,4.274,3.681,7.265284,6.115723,1.149562,963.7216,0.614531,0.097461,0.737441,0.165098,51200,49342547,761,58063,53,82
1200,4.455,3.829,7.080737,5.915771,1.164965,949.198,0.616797,0.096523,0.748359,0.155117,51200,48598940,811,56137,61,93
1250,4.635,3.981,6.976221,5.80542,1.170801,908.0596,0.620352,0.092871,0.759414,0.147715,51200,46492649,768,55252,62,97
1300,4.805,4.123,6.906465,5.758667,1.147798,933.4457,0.623125,0.095996,0.752969,0.151035,51200,47792419,795,54857,62,103
1350,4.974,4.262,6.769334,5.6604,1.108934,884.6321,0.628535,0.09,0.756719,0.153281,51200,45293165,842,53750,67,109
1400,5.143,4.399,6.620545,5.505005,1.11554,873.2118,0.627832,0.090547,0.757168,0.152285,51200,44708444,754,51675,68,113
1450,5.32,4.537,6.486918,5.367188,1.11973,879.5876,0.64125,0.091289,0.768008,0.140703,51200,45034887,802,50978,69,117
1500,5.506,4.69,6.34663,5.216187,1.130443,860.176,0.664062,0.088691,0.77959,0.131719,51200,44041012,835,49211,85,134
1550,5.669,4.821,6.134732,4.965454,1.169277,786.8543,0.657656,0.079941,0.787969,0.13209,51200,40286938,799,46650,102,157
1600,5.876,4.993,5.979432,4.810913,1.168519,759.1426,0.653164,0.075879,0.795195,0.128926,51200,38868102,732,45139,116,174
1650,6.034,5.116,5.852578,4.698242,1.154335,723.0663,0.660449,0.07168,0.809219,0.119102,51200,37020996,789,44247,130,188
1700,6.186,5.232,5.761149,4.638672,1.122477,636.8232,0.667012,0.061914,0.813828,0.124258,51200,32605346,788,43847,138,207
1750,6.338,5.345,5.686996,4.581665,1.105331,602.726,0.667168,0.057754,0.816543,0.125703,51200,30859569,776,43213,147,223
1800,6.486,5.457,5.475679,4.406738,1.068941,588.5351,0.682441,0.055938,0.823887,0.120176,51200,30132998,805,41453,156,237
1850,6.633,5.566,5.240739,4.173828,1.066911,559.138,0.691348,0.051875,0.828223,0.119902,51200,28627866,765,39198,156,246
1900,6.778,5.673,5.104866,4.027954,1.076912,527.3808,0.701484,0.047637,0.841055,0.111309,51200,27001895,832,37982,157,254
1950,6.924,5.778,4.852848,3.869263,0.983586,504.6541,0.693477,0.045195,0.85332,0.101484,51200,25838290,793,36434,183,274
2000,7.066,5.878,4.622927,3.693115,0.929812,445.6474,0.71082,0.03791,0.85918,0.10291,51200,22817146,823,35075,198,288
2050,7.206,5.975,4.42809,3.561157,0.866933,398.7456,0.713496,0.031387,0.873848,0.094766,51200,20415774,814,32861,219,308
2100,7.347,6.071,4.260598,3.426147,0.83445,403.5628,0.727988,0.031504,0.883008,0.085488,51200,20662415,791,31600,236,331
2150,7.493,6.172,4.098434,3.268311,0.830123,397.009,0.75127,0.030703,0.897051,0.072246,51200,20326859,772,29503,239,337
2200,7.637,6.269,3.928746,3.135376,0.79337,395.476,0.767266,0.029824,0.903262,0.066914,51200,20248373,746,28176,253,354
2250,7.774,6.362,3.707981,2.9729,0.73508,377.7877,0.781348,0.027754,0.920605,0.051641,51200,19342732,779,26336,278,380
2300,7.91,6.452,3.58903,2.862305,0.726725,351.8722,0.790078,0.025508,0.927812,0.04668,51200,18015859,789,24868,286,386
2350,8.042,6.539,3.394505,2.730713,0.663792,310.8153,0.786387,0.021777,0.935332,0.042891,51200,15913744,762,23593,282,387
