rep,epoch,frac_bytes_a,frac_tapes_a,distinct_tapes,mean_steps,copies_per_run
0,0,0.5,0.5,3388,0.0,0.0
0,10,0.483654,0.483826,1340,8108.75,495.71
0,20,0.499725,0.5,1084,8126.79,493.241
0,30,0.516029,0.516113,988,8110.52,486.248
0,40,0.538561,0.538574,848,8145.64,478.853
0,50,0.518461,0.518616,823,8153.32,469.541
0,60,0.502811,0.503296,826,8144.86,458.278
0,70,0.47142,0.471863,822,8141.97,457.245
0,80,0.46118,0.462646,821,8153.51,459.718
0,90,0.461884,0.462769,777,8137.47,455.726
0,100,0.455997,0.456909,758,8151.03,457.397
0,110,0.459442,0.459778,745,8149.71,457.092
0,120,0.447498,0.447754,763,8152.78,464.798
0,130,0.430393,0.429993,762,8156.93,479.1
0,140,0.45043,0.450439,744,8160.77,481.689
0,150,0.448362,0.446899,775,8166.3,458.294
0,160,0.477686,0.477478,750,8162.91,457.575
0,170,0.470871,0.47229,716,8163.74,453.693
0,180,0.467804,0.470825,733,8149.87,459.34
0,190,0.452135,0.456848,716,8153.72,454.051
0,200,0.421991,0.426453,720,8159.29,461.0
0,210,0.440573,0.444458,686,8160.84,463.284
0,220,0.427708,0.429688,753,8154.52,459.119
0,230,0.435507,0.437805,712,8159.61,455.0
0,240,0.417923,0.418457,732,8157.94,444.966
0,250,0.430866,0.433838,708,8163.35,443.135
0,260,0.43972,0.444336,739,8154.92,434.755
0,270,0.451424,0.455078,694,8164.75,430.49
0,280,0.462856,0.466064,701,8166.52,428.337
0,290,0.488247,0.491943,721,8162.19,427.326
0,300,0.490191,0.494507,689,8165.79,433.513
1,0,0.5,0.5,3366,0.0,0.0
1,10,0.481104,0.481445,1336,8110.32,509.964
1,20,0.529095,0.529663,1145,8105.9,503.1
1,30,0.520735,0.521118,1024,8130.2,497.879
1,40,0.537397,0.53772,1023,8119.13,490.678
1,50,0.549402,0.549561,980,8138.48,490.756
1,60,0.553022,0.553223,922,8143.03,487.563
1,70,0.520638,0.520874,882,8152.3,500.823
1,80,0.497829,0.498169,830,8158.9,511.628
1,90,0.521238,0.521606,871,8144.64,502.349
1,100,0.52227,0.522217,788,8157.89,491.231
1,110,0.503265,0.503418,810,8156.53,481.704
1,120,0.501286,0.501709,785,8141.09,481.631
1,130,0.493952,0.493652,786,8139.07,482.788
1,140,0.51123,0.510498,798,8140.02,495.411
1,150,0.539042,0.538818,791,8147.37,488.288
1,160,0.526001,0.525513,734,8143.56,484.634
1,170,0.524807,0.52478,712,8150.89,488.195
1,180,0.522995,0.523315,718,8158.36,481.787
1,190,0.531967,0.532593,755,8156.7,469.52
1,200,0.534393,0.535156,816,8163.32,462.598
1,210,0.515144,0.515015,781,8160.54,454.488
1,220,0.518566,0.518555,762,8151.99,455.114
1,230,0.502329,0.502686,800,8150.93,466.056
