# epoch 0  H=7.9999 C=8.0025 HO=-0.0026  A(t)=0
         1  ...#....K36{...K  ffffe023a2b5ff9b4b33367bd9f9bf4b
         1  ...g|.J.....X.N.  ffffce677ca44aeedfb9e81258b54eb9
         1  ...Cw.n;..o.h.U.  ffffcd4377fc6e3bb8fe6faf680d55f4
         1  ...c.4....-E...$  ffffc163813416c29ef22d4588190b24
         1  ....>..<...W..g.  ffffbead3ee7a93cd8c8a557dddd67ec
         1  ...]REe......{1G  ffffb95d524565fa16d983a80b7b3147
         1  ......X....).h..  ffffa6e2afa758c1fdbc8e29d3681112
         1  .......+.....O..  ffffa686b2b6862b97a6c8c3c04f9913
         1  .....9...|e.f...  ffff8edeae392ebbc57c65a966eebc04
         1  ..............==  ffff8ca4c7c51a1804c00a818e8e3d3d
# epoch 200  H=7.9972 C=7.7074 HO=0.2898  A(t)=0
      1117  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       584  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       513  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       502  ................  ffffffffffffffffffffffffffffffff
       465  gggggggggggggggg  67676767676767676767676767676767
       456  ................  01010101010101010101010101010101
       438  HHHHHHHHHHHHHHHH  48484848484848484848484848484848
       376  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
       372  ................  a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3
       365  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
# epoch 400  H=7.9888 C=7.5677 HO=0.4211  A(t)=0
      1342  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1254  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
      1012  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       956  ................  01010101010101010101010101010101
       899  ................  ffffffffffffffffffffffffffffffff
       524  ................  02020202020202020202020202020202
       485  ................  d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
       483  ................  b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
       452  ................  95959595959595959595959595959595
       437  ................  edededededededededededededededed
# epoch 600  H=7.9757 C=7.4653 HO=0.5104  A(t)=0
      1451  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1280  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1066  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       947  ................  ffffffffffffffffffffffffffffffff
       818  ................  01010101010101010101010101010101
       736  ................  fefefefefefefefefefefefefefefefe
       734  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       702  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       596  ................  02020202020202020202020202020202
       538  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
# epoch 800  H=7.9569 C=7.3928 HO=0.5641  A(t)=0
      2166  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1339  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       858  ................  ffffffffffffffffffffffffffffffff
       849  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       844  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       791  ................  01010101010101010101010101010101
       771  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       599  ................  03030303030303030303030303030303
       584  ................  02020202020202020202020202020202
       487  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 1000  H=7.9365 C=7.3483 HO=0.5882  A(t)=308
      2966  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1992  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1097  ................  01010101010101010101010101010101
      1047  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       893  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       731  ................  02020202020202020202020202020202
       635  ................  e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
       501  ................  ffffffffffffffffffffffffffffffff
       501  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       486  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
# epoch 1200  H=7.9137 C=7.3448 HO=0.5689  A(t)=316
      2641  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      2609  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       895  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       843  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       722  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       721  ................  01010101010101010101010101010101
       572  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       499  ................  18181818181818181818181818181818
       383  ................  02020202020202020202020202020202
       355  ................  e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
# epoch 1400  H=7.8892 C=7.3091 HO=0.5801  A(t)=324
      2796  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      2383  ................  01010101010101010101010101010101
      1774  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1183  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       944  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       818  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       672  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       479  ................  ffffffffffffffffffffffffffffffff
       459  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       417  ................  18181818181818181818181818181818
# epoch 1600  H=7.8629 C=7.2864 HO=0.5765  A(t)=334
      2669  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1523  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1250  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
      1004  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       983  ................  01010101010101010101010101010101
       806  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       677  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       646  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       462  ................  c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
       360  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
# epoch 1800  H=7.8308 C=7.2418 HO=0.5890  A(t)=345
      2600  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1928  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1191  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
      1031  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       948  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       933  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       627  9999999999999999  39393939393939393939393939393939
       582  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       532  ................  01010101010101010101010101010101
       476  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
# epoch 2000  H=7.8007 C=7.2226 HO=0.5781  A(t)=366
      2620  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1740  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1160  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       911  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       895  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       740  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       591  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       481  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       475  8888888888888888  38383838383838383838383838383838
       455  9999999999999999  39393939393939393939393939393939
# epoch 2200  H=7.7694 C=7.2252 HO=0.5442  A(t)=380
      2184  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1574  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1145  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       918  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       868  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       825  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       771  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       399  ................  01010101010101010101010101010101
       391  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       379  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 2400  H=7.7346 C=7.2160 HO=0.5186  A(t)=386
      1913  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1848  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       881  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       866  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       823  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       740  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       714  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       348  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       344  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       294  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 2600  H=7.7108 C=7.2277 HO=0.4831  A(t)=390
      1844  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1271  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       918  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       856  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       802  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       693  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       563  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       388  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       323  5555555555555555  35353535353535353535353535353535
       319  9999999999999999  39393939393939393939393939393939
# epoch 2800  H=7.6852 C=7.2457 HO=0.4395  A(t)=399
