epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,copies_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive,distinct_tapes,distinct_labels
0,0.026,0.0,7.996763,8.000488,-0.003725,8.000488,8.003174,-0.006411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,65536,0,0,0,0,,
250,1.258,1.205,7.972853,7.914307,0.058547,7.953125,7.895996,0.076857,985.5395,0.507926,0.893268,92.4351,8.4381,0.106621,0.668242,0.225137,256000,252298114,3911,65160,0,0,0,0,,
500,2.291,2.211,7.942531,7.737549,0.204983,7.917358,7.819336,0.123195,812.3903,0.488164,0.873293,79.6489,4.7588,0.085977,0.650449,0.263574,256000,207971905,3876,65131,0,0,0,0,,
750,3.306,3.197,7.88256,7.56958,0.31298,7.847534,7.747803,0.134758,805.3755,0.469078,0.870549,89.6929,5.0757,0.084531,0.673438,0.242031,256000,206176139,3831,65154,0,0,0,0,,
1000,4.384,4.245,7.823161,7.411987,0.411174,7.718262,7.617676,0.205485,764.9004,0.446301,0.861143,84.1412,3.9352,0.079113,0.708789,0.212098,256000,195814503,3824,64477,0,0,0,0,,
1250,5.528,5.358,7.745147,7.292725,0.452422,7.629761,7.529297,0.21585,858.6905,0.448406,0.877227,127.6012,4.6064,0.091777,0.696105,0.212117,256000,219824779,3868,64138,1,1,1,1,,
1500,6.709,6.509,7.652077,7.195801,0.456276,7.544922,7.429443,0.222633,942.8582,0.41518,0.890583,162.6366,4.3472,0.10243,0.664457,0.233113,256000,241371688,4028,63680,1,1,1,1,,
1750,7.831,7.601,7.549274,7.06543,0.483845,7.427124,7.312134,0.23714,967.884,0.377246,0.893761,157.8662,7.1292,0.105188,0.662508,0.232305,256000,247778314,3884,63389,2,2,2,2,,
2000,8.934,8.675,7.493575,7.041138,0.452438,7.378784,7.267944,0.225631,941.7225,0.361066,0.891592,132.3447,4.2153,0.10266,0.662055,0.235285,256000,241080958,4018,62929,2,2,2,2,,
2250,10.026,9.737,7.472127,7.047607,0.42452,7.341431,7.2677,0.204427,944.3408,0.363242,0.889695,108.6785,6.227,0.101531,0.677699,0.22077,256000,241751241,3902,62662,2,2,2,2,,
2500,11.122,10.803,7.449395,7.024292,0.425103,7.313843,7.222412,0.226983,958.5865,0.363723,0.890361,115.362,7.0915,0.102676,0.685074,0.21225,256000,245398146,3849,62590,4,4,4,4,,
2750,12.237,11.888,7.423418,6.978516,0.444902,7.286987,7.18457,0.238847,904.6999,0.358852,0.882476,92.3936,3.4157,0.095566,0.696277,0.208156,256000,231603167,3969,62541,4,4,4,4,,
3000,13.246,12.867,7.417304,6.991821,0.425483,7.285645,7.205444,0.21186,840.6793,0.376902,0.872168,94.2875,4.135,0.087059,0.720387,0.192555,256000,215213896,3894,62714,4,5,4,5,,
3250,14.278,13.869,7.35212,6.95813,0.39399,7.249512,7.175171,0.176949,814.8819,0.343762,0.868817,85.0481,3.3162,0.084914,0.714555,0.200531,256000,208609779,3838,62822,4,5,4,5,,
3500,15.206,14.766,7.264697,6.864624,0.400073,7.143433,7.074341,0.190356,749.8395,0.337234,0.859057,86.3926,6.4024,0.077473,0.70716,0.215367,256000,191958910,3847,62398,4,5,4,5,,
3750,16.158,15.687,7.198269,6.787354,0.410916,7.055664,6.985229,0.21304,753.4624,0.354859,0.859089,96.2099,5.6055,0.077719,0.712898,0.209383,256000,192886376,3907,61990,4,5,4,5,,
4000,17.111,16.608,7.13185,6.755737,0.376113,6.987793,6.93689,0.19496,776.296,0.328238,0.862644,108.8807,8.2936,0.080633,0.721875,0.197492,256000,198731764,3911,61956,4,5,4,5,,
4250,18.069,17.53,7.088563,6.698364,0.390199,6.93042,6.864624,0.223939,789.7899,0.306199,0.863525,94.2391,3.6256,0.082133,0.72848,0.189387,256000,202186208,4056,61732,4,5,4,5,,
4500,19.067,18.495,7.047546,6.678833,0.368713,6.914551,6.845337,0.202209,784.9635,0.291078,0.861983,108.5851,1.9848,0.08193,0.731836,0.186234,256000,200950653,3959,61498,6,7,6,7,,
4750,20.028,19.423,7.013839,6.659058,0.354781,6.886719,6.823853,0.189986,774.7745,0.286625,0.858656,112.5982,1.2405,0.079746,0.746984,0.17327,256000,198342282,3860,61339,7,8,7,8,,
5000,20.978,20.335,6.990471,6.660645,0.329827,6.86853,6.819092,0.171379,736.3834,0.302285,0.850873,109.169,1.3081,0.075648,0.744816,0.179535,256000,188514144,3998,61261,8,9,8,9,,
5250,21.945,21.266,6.94403,6.617554,0.326476,6.81665,6.777344,0.166686,766.5475,0.324105,0.858547,99.592,1.3511,0.079406,0.731461,0.189133,256000,196236152,3913,60850,10,11,10,11,,
5500,22.884,22.171,6.901276,6.53479,0.366486,6.755249,6.702515,0.198761,768.574,0.340148,0.859232,88.7698,1.4267,0.079844,0.724352,0.195805,256000,196754951,3972,60572,9,11,9,11,,
5750,23.848,23.1,6.845958,6.46228,0.383677,6.671021,6.621948,0.22401,815.3698,0.319469,0.868469,70.262,1.4081,0.085883,0.711043,0.203074,256000,208734669,3952,60026,9,12,9,12,,
6000,24.758,23.975,6.766302,6.353638,0.412664,6.57312,6.506836,0.259466,756.6932,0.3345,0.858127,58.9089,2.5895,0.079023,0.716719,0.204258,256000,193713450,4043,59849,8,12,8,12,,
6250,25.616,24.797,6.713538,6.30542,0.408118,6.518066,6.471069,0.242468,691.3897,0.353012,0.843438,55.7107,2.4572,0.069953,0.730348,0.199699,256000,176995753,4056,59373,7,12,7,12,,
6500,26.487,25.631,6.621432,6.245239,0.376193,6.444092,6.395752,0.22568,702.6661,0.351312,0.846391,56.4291,4.0526,0.070902,0.724191,0.204906,256000,179882527,3882,58945,6,12,6,12,,
6750,27.401,26.506,6.594373,6.207764,0.38661,6.405273,6.359009,0.235364,744.5577,0.325312,0.856252,78.5855,9.14,0.075164,0.709941,0.214895,256000,190606767,3996,58594,6,12,6,12,,
7000,28.27,27.339,6.533105,6.167969,0.365136,6.327271,6.311157,0.221947,733.6158,0.310438,0.852211,58.2298,1.657,0.073102,0.72668,0.200219,256000,187805644,3900,58418,6,12,6,12,,
7250,29.212,28.242,6.480849,6.134888,0.345962,6.277466,6.262329,0.21852,771.9158,0.301852,0.858774,53.0486,1.4463,0.077426,0.73259,0.189984,256000,197610433,3948,58140,6,12,6,12,,
7500,30.114,29.105,6.396574,6.048706,0.347868,6.199829,6.177734,0.218839,722.4083,0.308305,0.846372,50.3904,1.4406,0.07082,0.755887,0.173293,256000,184936524,3802,57541,7,12,7,12,,
7750,30.969,29.921,6.365016,6.060303,0.304714,6.209351,6.172485,0.192531,681.4775,0.318668,0.836886,53.0057,1.5395,0.066445,0.755348,0.178207,256000,174458252,3997,58091,10,13,10,13,,
8000,31.763,30.676,6.399151,6.071899,0.327251,6.224854,6.196899,0.202251,613.342,0.288207,0.817781,50.7804,0.9128,0.057613,0.768281,0.174105,256000,157015543,4021,58107,10,13,10,13,,
8250,32.592,31.467,6.446874,6.178223,0.268651,6.300659,6.292603,0.154272,670.2179,0.288637,0.834329,48.7412,1.4853,0.065594,0.756641,0.177766,256000,171575774,3850,58880,9,13,9,13,,
8500,33.513,32.352,6.461934,6.202393,0.259542,6.32605,6.311768,0.150167,774.044,0.267613,0.858345,74.7728,1.1464,0.079875,0.73791,0.182215,256000,198155257,4004,59447,9,14,9,14,,
8750,34.356,33.16,6.476313,6.218384,0.257929,6.331421,6.330322,0.145991,677.4815,0.280973,0.837853,56.2102,0.5655,0.068715,0.74034,0.190945,256000,173435260,3966,59505,7,14,7,14,,
9000,35.2,33.968,6.483672,6.229736,0.253935,6.332642,6.352661,0.13101,646.9949,0.297531,0.830147,53.1289,1.1507,0.064777,0.745613,0.189609,256000,165630690,3752,59539,7,14,7,14,,
9250,36.019,34.752,6.475164,6.207886,0.267278,6.332764,6.335449,0.139715,657.5689,0.306199,0.833858,63.1642,1.7531,0.065266,0.739266,0.195469,256000,168337648,3872,59363,7,14,7,14,,
9500,36.786,35.484,6.473816,6.204346,0.26947,6.329102,6.332153,0.141662,589.4122,0.303559,0.813019,53.9032,2.6339,0.056129,0.750777,0.193094,256000,150889529,3949,59472,10,16,10,16,,
9750,37.54,36.202,6.480963,6.220581,0.260382,6.346436,6.350708,0.130255,572.4078,0.29027,0.807245,49.2901,2.3552,0.054383,0.750387,0.19523,256000,146536409,3951,59656,9,16,9,16,,
10000,38.27,36.894,6.460097,6.194092,0.266006,6.327026,6.324219,0.135879,535.8736,0.31307,0.793419,44.0711,1.5368,0.050801,0.755738,0.193461,256000,137183631,3914,59764,10,18,10,18,,
10250,39.03,37.615,6.443902,6.220093,0.223809,6.334106,6.333496,0.110406,583.1441,0.305242,0.809228,46.0134,1.1582,0.056539,0.760664,0.182797,256000,149284879,3954,59840,12,20,12,20,,
10500,39.779,38.327,6.384951,6.17981,0.205141,6.272949,6.285156,0.099794,557.7479,0.299406,0.801189,57.3835,1.3154,0.054422,0.75402,0.191559,256000,142783451,3875,59654,12,20,12,20,,
10750,40.557,39.067,6.410218,6.186401,0.223816,6.301147,6.291504,0.118714,589.9287,0.297145,0.810442,62.5601,2.1524,0.057891,0.768016,0.174094,256000,151021756,3958,59661,10,21,10,21,,
11000,41.314,39.784,6.445882,6.208008,0.237874,6.317505,6.324585,0.121297,561.4968,0.294656,0.802588,65.0144,2.7362,0.054105,0.757199,0.188695,256000,143743188,3913,59620,10,21,10,21,,
11250,42.114,40.549,6.451372,6.230835,0.220537,6.325195,6.327881,0.123491,596.7626,0.284945,0.816414,73.7279,0.875,0.058645,0.735367,0.205988,256000,152771216,3913,59479,13,22,13,22,,
11500,42.919,41.317,6.495209,6.271851,0.223359,6.369385,6.377563,0.117646,597.1897,0.292699,0.816233,73.2703,1.2974,0.057648,0.737367,0.204984,256000,152880565,3990,59808,16,24,16,24,,
11750,43.811,42.173,6.498076,6.276001,0.222075,6.377441,6.389526,0.10855,657.1134,0.302469,0.833589,98.5784,0.7935,0.065242,0.735344,0.199414,256000,168221030,3905,60087,14,24,14,24,,
12000,44.717,43.045,6.49786,6.288086,0.209774,6.388184,6.394287,0.103573,702.4845,0.288023,0.843707,99.6723,1.5657,0.071668,0.738488,0.189844,256000,179836037,3946,60289,9,24,9,24,,
12250,45.502,43.795,6.524871,6.28772,0.237151,6.39624,6.38855,0.136321,573.9935,0.261438,0.809112,96.7424,1.4445,0.056551,0.74598,0.197469,256000,146942335,3915,60144,9,24,9,24,,
12500,46.281,44.539,6.497702,6.300293,0.197409,6.400391,6.412842,0.08486,554.3364,0.26757,0.801876,80.1251,2.8147,0.053754,0.74543,0.200816,256000,141910131,3977,60501,9,24,9,24,,
12750,47.141,45.363,6.493552,6.317993,0.175559,6.403931,6.427002,0.06655,612.2397,0.274715,0.820137,81.4204,3.4996,0.060355,0.746098,0.193547,256000,156733354,3908,60358,9,24,9,24,,
13000,48.018,46.204,6.485565,6.274658,0.210907,6.370361,6.372314,0.113251,708.2506,0.289051,0.846141,97.9251,1.9953,0.072707,0.732441,0.194852,256000,181312151,3861,59885,10,24,10,24,,
