epoch,family,coverage,count,top_count,size,rep_hex,rep_printable,is_leader
5500,0,0.213806,40729,675,90,3a2ffe2cffff5b3e7dfcf734042c2cf8,":/.,..[>}..4.,,.",0
5500,1,0.134094,17571,742,36,8ffe20398ff7fe2cfeba5b3e7dfc424d,".._9...,..[>}.BM",0
5500,2,0.031128,7334,516,17,9b5d5d37cdcbb5e7df69133005282c93,".]]7.....i.0.(,.",0
5500,3,0.030823,8586,738,15,8f2f082c76905b3e7d07423434832c44,"./.,v.[>}.B44.,D",0
5500,4,0.025391,6240,412,16,5dff5e80fc768ffe92518f2ffe955c6c,].^..v...Q./..\l,0
5500,5,0.024841,2781,407,7,3a5c715d5dffff6363da522d87408760,:\q]]..cc.R-.@.`,0
6000,6,0.187744,34143,715,73,2cffff5b3e7dfc4234b12c67273aec9b,",..[>}.B4.,g':..",0
6000,7,0.109375,10925,687,23,80fc038fc42b365587fe2c0bff5b3e7d,".....+6U..,..[>}",0
6000,1,0.071136,11104,594,25,80be028ffe20398ff7fe2c31ba5b3e7d,"....._9...,1.[>}",0
6000,8,0.033936,9668,556,20,34342c2cb93a409b225dffff6363f288,"44,,.:@.""]..cc..",0
6000,9,0.031952,5515,637,10,f829212c0703cafe70636eb1efecd1c2,".)!,....pcn.....",0
6000,10,0.028809,5210,516,12,5dffff6363f2882d1340e41f7fd55eea,]..cc..-.@....^.,0
6500,0,0.197113,27796,698,59,8f2ffe2cffff5b3e7d14422a342c16f8,"./.,..[>}.B*4,..",0
6500,6,0.144592,21795,921,42,2cb0725b3e7dfc4234a42c2cd53aec9b,",.r[>}.B4.,,.:..",1
6500,7,0.100372,12761,633,28,80c3fc8ffe2b398f2ffe2cffff5b3e7d,".....+9./.,..[>}",0
6500,11,0.036224,11672,662,23,5dc679d587d1f288d95d40875150b45e,].y......]@.QP.^,0
6500,12,0.035797,8532,525,19,5150b45e8c3541fb8887881b22f64c4d,"QP.^.5A....."".LM",0
6500,13,0.018799,2671,603,5,88d95d40875150b45e8c3541fb888788,..]@.QP.^.5A....,0
7000,0,0.262451,64810,1146,106,2ffe2c20ff5b3e7d60423434f02cf8b5,"/.,_.[>}`B44.,..",0
7000,14,0.040497,8235,821,12,b936875ea883401fd5b1da0d2ce613f3,".6.^..@.....,...",0
7000,15,0.033142,1086,640,2,872cc9ff5b3e7dcfd8c525a12cd0d95c,".,..[>}...%.,..\",0
7000,16,0.032562,5760,905,8,d890e72769134d11d92c93d0a32d5d05,"...'i.M..,...-].",0
7000,17,0.028748,4202,924,5,ff5d9bffecd890e72769134d11d92c93,".]......'i.M..,.",0
7000,18,0.026184,3955,730,6,c9048f3a13397927fe2cffff5b3e7dfc,"...:.9y'.,..[>}.",0
7500,19,0.079285,16074,661,32,94fe2c334c5b3e7d47653489bf2c463a,"..,3L[>}Ge4..,F:",0
7500,20,0.073456,9446,988,15,5b3e7db65f34f22c2cf891ec9b165d4a,"[>}._4.,,.....]J",0
7500,21,0.071045,17062,738,31,27758f2fa12cff255b3e7db65f34f22c,"'u./.,.%[>}._4.,",0
7500,1,0.047791,5897,558,13,80be248ffe20398ff7fe2c31ba5b3e7d,"..$.._9...,1.[>}",0
7500,15,0.035645,15907,611,32,fe2c19315b3e7dcfc0c525af2cddd95c,".,.1[>}...%.,..\",0
7500,22,0.031525,2085,540,4,fcfc08fe2b39ac1dfe2cc9ff5b3e7d1f,"....+9...,..[>}.",0
8000,23,0.07019,17941,1069,22,072c8bba5b3e7dfc42532a472c34c607,".,..[>}.BS*G,4..",0
8000,20,0.053741,16112,1133,21,5b3e7d764234342c35f843f49b5d5d86,"[>}vB44,5.C..]].",0
8000,24,0.052185,10231,679,17,fc3381fe2bd08f18fe2c3bff5bfb0e12,".3..+....,;.[...",0
8000,25,0.037018,6144,659,11,65a68f3b052cf42a5b3e7d764234342c,"e..;.,.*[>}vB44,",0
