# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ...:^s..$.[....!  ffffeb3a5e73a8a224d45be2b3dde821
         1  ...[..>N..y.@...  ffffe65bcf9e3e4e9cea79f040ebf395
         1  ...<|..h=...2..l  ffffe53c7cdfcf683d83b2fb328ed76c
         1  ...CYg.@.kw...!.  ffffe1435967da40a56b7791a4ed2186
         1  .....Zm......%x.  ffffd581125a6df2b1b301ba032578bd
         1  ........j...K..m  ffffd2199af1d8c36a06c27f4b0d996d
         1  ...,.....)x...l.  ffffca2c0ef9a8ef852978e6a31f6c7f
         1  ..._?Q....A..:$e  ffffbd203f51c3f99bbb41f0ff3a2465
         1  .....~.....q.%..  ffffb8eeef7ef88796abdc71c12508d7
         1  ........"R+.....  ffffaa820f87c3d322522bbeb904dcec
# epoch 250  H=7.9866 C=7.8677 HO=0.0916  A(t)=0
       335  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       273  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       262  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       106  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        97  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
        79  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        59  ................  1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e
        58  ................  efefefefefefefefefefefefefefefef
        58  KKKKKKKKKKKKKKKK  4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b
        55  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
# epoch 500  H=7.9641 C=7.8309 HO=0.0807  A(t)=0
       358  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       295  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       267  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       113  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
       102  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
        73  ................  a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
        71  &&&&&&&&&&&&&&&&  26262626262626262626262626262626
        70  ................  dfdfdfdfdfdfdfdfdfdfdfdfdfdfdfdf
        69  ................  abababababababababababababababab
        67  6666666666666666  36363636363636363636363636363636
# epoch 750  H=7.9377 C=7.7685 HO=0.1061  A(t)=0
       438  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       275  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       239  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       174  ................  adadadadadadadadadadadadadadadad
       104  ................  e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
       100  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
        95  ................  9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d
        92  dddddddddddddddd  64646464646464646464646464646464
        80  ................  a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4
        77  ................  cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd
# epoch 1000  H=7.9124 C=7.7365 HO=0.1122  A(t)=0
       427  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       225  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       214  MMMMMMMMMMMMMMMM  4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d
