epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,1.347,0.0,7.999923,8.000019,-9.6e-05,8.000019,8.002464,-0.002541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1867776,0,0,0,0
250,15.458,12.837,7.986629,7.895008,0.091621,7.957355,7.86768,0.118949,799.8927,0.566615,0.87686,119.6911,0.084557,0.618311,0.297132,4096000,3276360704,127848,1851377,0,0,0,0
500,29.653,25.736,7.96405,7.883343,0.080708,7.939827,7.830879,0.133171,791.8692,0.678015,0.879261,142.0914,0.084559,0.590739,0.324702,4096000,3243496245,128409,1851190,0,0,0,0
750,44.012,38.798,7.937661,7.831577,0.106084,7.907372,7.768505,0.169156,815.2291,0.7346,0.888243,163.7202,0.08797,0.535074,0.376956,4096000,3339178371,128274,1847589,0,0,0,0
1000,58.744,52.183,7.912428,7.800262,0.112166,7.88142,7.736485,0.175944,813.8942,0.749679,0.893344,180.8197,0.088146,0.486653,0.425201,4096000,3333710645,127958,1846800,0,0,0,0
1250,73.433,65.47,7.89137,7.7794,0.11197,7.864941,7.712025,0.179345,807.9811,0.756117,0.896329,197.6144,0.087779,0.454589,0.457632,4096000,3309490626,127614,1846213,201,201,201,201
1500,88.762,79.494,7.874692,7.749229,0.125463,7.840851,7.679825,0.194868,853.8409,0.753729,0.904289,211.0702,0.093451,0.432851,0.473698,4096000,3497332123,127420,1843451,207,216,207,216
1750,105.116,94.444,7.859802,7.723385,0.136417,7.8209,7.655037,0.204765,914.7662,0.757574,0.911533,236.2341,0.100907,0.419286,0.479807,4096000,3746882465,128070,1841093,225,236,225,236
2000,122.308,109.565,7.852311,7.722408,0.129903,7.813824,7.651283,0.201028,931.5086,0.741642,0.915953,253.9549,0.103197,0.392104,0.504699,4096000,3815459131,127712,1840552,236,252,236,252
2250,142.303,128.249,7.850399,7.734196,0.116204,7.82053,7.666039,0.184361,941.4811,0.735654,0.916505,262.784,0.104339,0.398842,0.496819,4096000,3856306458,127787,1843092,242,266,242,266
