# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  .......j.&5.....  fffffcb0c9c7c56a18263512e4888ba9
         1  ....p.....Uaw!..  fffff02e70ddfc94b91c55617721d6fd
         1  ......_nj.e.....  ffffea97e2bc206e6a1e659d01fe7fda
         1  ....1...g1._...P  ffffe8df31ebffda6731815fa51dd050
         1  .....afGo...v..<  ffffd588ce6166476f14afaf76a9b93c
         1  ...J...rc].vcYM.  ffffbf4a818bf972635de57663594d0c
         1  .........v..v.m.  ffffb4b5eabefe96ae76fe0a76ec6def
         1  ..........$._.\)  ffffa7a5c6adbb7f9fc82481209f5c29
         1  ...r.....k.c....  ffffa672e51facf69c6b9863890af49d
         1  ...+.,.Jg...$P.q  ffff8f2b102cc64a67da1fe524501171
# epoch 250  H=7.9947 C=7.6377 HO=0.3461  A(t)=0
      1334  ................  ffffffffffffffffffffffffffffffff
      1231  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       796  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       763  ................  01010101010101010101010101010101
       742  ................  02020202020202020202020202020202
       660  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
       588  ................  96969696969696969696969696969696
       539  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       514  ................  87878787878787878787878787878787
       482  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
